"station","Date","Time","latitude","longitude","elevation","name","dailyaveragestationpressure","dailyaveragewindspeed","dailymaximumdrybulbtemperature","dailyminimumdrybulbtemperature","dailyprecipitation","dailyweather","Year","Month"
"72645594897",2014-01-20,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.23","12.2",NA,NA,0,"SN BR",2014,1
"72645594897",2014-01-21,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.53","8.9",NA,-4,0,"SN",2014,1
"72645594897",2014-01-22,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.23","10.2",NA,NA,0,"SN BR HZ",2014,1
"72645594897",2014-01-23,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.60","14.6",13,-5,0,"SN BR",2014,1
"72645594897",2014-01-24,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.97","15.9",NA,-7,0,"SN BR",2014,1
"72645594897",2014-01-25,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.83","14.8",NA,NA,0,"SN FZFG BR HZ FG",2014,1
"72645594897",2014-01-26,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.78","10.3",17,0,0.01,"SN BR",2014,1
"72645594897",2014-01-27,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.41","17.1",7,-10,0,"SN",2014,1
"72645594897",2014-01-28,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.49","15.9",1,-14,0,"SN",2014,1
"72645594897",2014-01-29,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.27","14.6",20,-3,0,"",2014,1
"72645594897",2014-01-30,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.97","14.0",29,17,0,"SN FZFG BR FG",2014,1
"72645594897",2014-01-31,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","","7.0",NA,-7,0,"",2014,1
"72645594897",2014-02-01,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.30","5.5",17,-7,0.03,"SN BR",2014,2
"72645594897",2014-02-02,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.50","8.3",18,2,0,"",2014,2
"72645594897",2014-02-03,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.59","6.6",24,-7,0,"",2014,2
"72645594897",2014-02-04,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.63","6.7",22,4,0,"",2014,2
"72645594897",2014-02-05,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.59","9.7",19,5,0,"SN",2014,2
"72645594897",2014-02-06,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.57","13.3",7,-2,0,"SN",2014,2
"72645594897",2014-02-07,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.49","12.2",13,-3,0,"SN",2014,2
"72645594897",2014-02-08,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.47","7.2",26,0,0,"SN BR",2014,2
"72645594897",2014-02-09,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.42","9.5",22,4,0,"SN BR",2014,2
"72645594897",2014-02-10,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.64","9.1",9,-5,0,"",2014,2
"72645594897",2014-02-11,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.70","6.9",18,-10,0,"",2014,2
"72645594897",2014-02-12,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.43","7.1",NA,NA,0,"SN BR",2014,2
"72645594897",2014-02-13,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.95","9.0",27,-2,0,"SN FZFG BR UP FG",2014,2
"72645594897",2014-02-14,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.02","11.5",24,NA,0,"SN",2014,2
"72645594897",2014-02-15,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.29","4.7",31,-3,0,"SN BR",2014,2
"72645594897",2014-02-16,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.44","9.2",NA,10,0,"SN BR",2014,2
"72645594897",2014-02-17,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.17","16.6",27,19,0.03,"SN FZFG BR UP BLSN FG",2014,2
"72645594897",2014-02-18,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.99","9.2",35,13,0,"SN FZFG BR UP FG",2014,2
"72645594897",2014-02-19,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.11","8.1",42,23,0,"BR",2014,2
"72645594897",2014-02-20,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.80","9.7",NA,NA,0.23,"TS RA BR UP",2014,2
"72645594897",2014-02-21,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.67","24.3",37,19,0,"RA SN",2014,2
"72645594897",2014-02-22,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.12","17.8",27,14,0,"",2014,2
"72645594897",2014-02-23,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.35","14.9",22,7,0,"",2014,2
"72645594897",2014-02-24,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.45","12.2",16,7,0,"",2014,2
"72645594897",2014-02-25,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.43","12.9",13,1,0,"SN",2014,2
"72645594897",2014-02-26,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.14","15.3",10,-6,0,"SN",2014,2
"72645594897",2014-02-27,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.23","10.7",10,-8,0,"SN",2014,2
"72645594897",2014-02-28,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.44","7.2",21,-15,0.01,"SN BR HZ FG",2014,2
"72645594897",2014-03-01,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.52","10.1",18,9,0,"SN BR",2014,3
"72645594897",2014-03-02,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.68","11.0",NA,-2,0,"SN",2014,3
"72645594897",2014-03-03,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.72","7.2",16,-8,0,"",2014,3
"72645594897",2014-03-04,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.54","3.8",23,2,0.02,"SN BR",2014,3
"72645594897",2014-03-05,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.75","7.0",18,-2,0,"SN BR",2014,3
"72645594897",2014-03-06,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.59","12.1",24,16,0,"SN BR",2014,3
"72645594897",2014-03-07,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.23","8.9",39,19,0,"HZ",2014,3
"72645594897",2014-03-08,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.48","8.7",32,16,0,"SN",2014,3
"72645594897",2014-03-09,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.21","11.5",40,15,0,"",2014,3
"72645594897",2014-03-10,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.89","10.1",52,34,0,"",2014,3
"72645594897",2014-03-11,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.05","8.0",45,NA,0,"",2014,3
"72645594897",2014-03-12,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.29","12.2",NA,12,0,"",2014,3
"72645594897",2014-03-13,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.21","8.8",35,7,0,"BR",2014,3
"72645594897",2014-03-14,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.86","13.6",46,32,0,"RA",2014,3
"72645594897",2014-03-15,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.43","10.3",37,NA,0,"SN UP",2014,3
"72645594897",2014-03-16,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.70","8.2",17,8,0,"SN BR",2014,3
"72645594897",2014-03-17,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.23","12.1",30,9,0,"",2014,3
"72645594897",2014-03-19,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.99","12.0",NA,NA,0,"RA SN FG BR UP",2014,3
"72645594897",2014-03-20,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.28","8.9",39,28,0,"",2014,3
"72645594897",2014-03-21,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.20","8.8",37,26,0.01,"RA SN BR",2014,3
"72645594897",2014-03-22,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.41","12.8",35,NA,0,"RA BR",2014,3
"72645594897",2014-03-23,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.68","9.5",27,13,0,"",2014,3
"72645594897",2014-03-24,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.41","10.7",32,13,0.01,"SN FZFG BR UP FG",2014,3
"72645594897",2014-03-25,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.38","12.2",23,12,0,"SN",2014,3
"72645594897",2014-03-26,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.44","12.3",34,8,0,"RA SN UP",2014,3
"72645594897",2014-03-27,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.92","12.1",38,33,0.52,"RA BR UP",2014,3
"72645594897",2014-03-28,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.21","10.9",40,30,0.02,"RA SN BR UP",2014,3
"72645594897",2014-03-29,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.56","5.2",37,25,0,"",2014,3
"72645594897",2014-03-30,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.43","8.4",41,21,0,"",2014,3
"72645594897",2014-03-31,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","","14.4",46,33,0.01,"TS",2014,3
"72645594897",2014-04-01,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.09","16.2",43,30,0,"SN",2014,4
"72645594897",2014-04-02,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.47","6.7",40,27,0,"",2014,4
"72645594897",2014-04-03,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.29","10.4",37,32,0.01,"SN UP",2014,4
"72645594897",2014-04-04,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.89","10.7",36,30,0.33,"RA SN BR UP",2014,4
"72645594897",2014-04-05,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.39","11.5",46,27,0,"",2014,4
"72645594897",2014-04-06,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.31","10.0",50,28,0,"",2014,4
"72645594897",2014-04-07,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.07","3.7",54,32,0,"BR",2014,4
"72645594897",2014-04-08,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.09","8.5",56,NA,0.01,"RA BR",2014,4
"72645594897",2014-04-09,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.16","11.1",NA,28,0,"",2014,4
"72645594897",2014-04-10,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.01","14.3",61,NA,0,"",2014,4
"72645594897",2014-04-11,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.28","6.4",59,NA,0,"RA",2014,4
"72645594897",2014-04-12,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.15","5.3",46,35,1.79,"TS RA BR",2014,4
"72645594897",2014-04-13,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.01","8.5",45,38,1.93,"TS RA BR",2014,4
"72645594897",2014-04-14,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.05","17.2",NA,NA,0.3,"RA SN FG BR UP",2014,4
"72645594897",2014-04-15,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.41","9.5",NA,21,0,"SN UP",2014,4
"72645594897",2014-04-16,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.54","11.9",39,21,0,"RA SN",2014,4
"72645594897",2014-04-17,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.48","10.8",53,36,0,"RA",2014,4
"72645594897",2014-04-18,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.67","7.3",44,31,0,"",2014,4
"72645594897",2014-04-19,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.64","10.6",48,31,0,"",2014,4
"72645594897",2014-04-20,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.41","8.4",52,41,0,"RA",2014,4
"72645594897",2014-04-21,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.15","6.3",67,43,0.01,"RA BR HZ",2014,4
"72645594897",2014-04-22,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.29","14.0",49,34,0,"",2014,4
"72645594897",2014-04-23,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.45","4.7",47,31,0,"",2014,4
"72645594897",2014-04-24,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.24","9.7",44,38,0.24,"RA",2014,4
"72645594897",2014-04-25,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.05","10.7",62,38,0.05,"RA BR",2014,4
"72645594897",2014-04-26,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.34","8.8",46,35,0,"",2014,4
"72645594897",2014-04-27,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.38","11.1",47,36,0,"RA",2014,4
"72645594897",2014-05-01,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.98","5.8",NA,NA,0.02,"RA BR",2014,5
"72645594897",2014-05-02,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.01","9.0",52,44,0,"RA",2014,5
"72645594897",2014-05-03,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.00","12.3",NA,NA,0,"RA BR",2014,5
"72645594897",2014-05-04,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.33","9.9",55,39,0,"",2014,5
"72645594897",2014-05-05,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.39","5.7",50,38,0,"",2014,5
"72645594897",2014-05-07,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.25","10.0",NA,NA,0.76,"TS RA BR",2014,5
"72645594897",2014-05-08,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.09","6.6",61,45,0.01,"TS RA BR HZ",2014,5
"72645594897",2014-05-09,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.95","14.8",72,50,0.11,"RA BR",2014,5
"72645594897",2014-05-10,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.21","11.3",68,47,0,"",2014,5
"72645594897",2014-05-11,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.25","7.8",NA,NA,0.19,"TS RA FG BR",2014,5
"72645594897",2014-05-12,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.17","7.7",NA,NA,1.35,"TS RA FG BR",2014,5
"72645594897",2014-05-13,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.21","11.9",67,NA,0.1,"RA BR",2014,5
"72645594897",2014-05-15,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.31","11.8",49,34,0,"RA",2014,5
"72645594897",2014-05-19,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.38","10.9",61,47,0,"RA",2014,5
"72645594897",2014-05-20,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.18","7.2",62,47,0.05,"RA BR",2014,5
"72645594897",2014-05-23,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.50","5.0",66,42,0,"BR",2014,5
"72645594897",2014-05-24,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.49","5.3",70,47,0,"",2014,5
"72645594897",2014-05-25,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.39","7.1",72,47,0,"",2014,5
"72645594897",2014-10-12,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","","3.5",52,51,0.01,"RA",2014,10
"72645594897",2014-10-13,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.09","6.0",61,50,1.8,"RA BR",2014,10
"72645594897",2014-10-14,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.92","10.8",57,50,0.35,"RA BR",2014,10
"72645594897",2014-10-15,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.09","10.1",55,49,0.14,"RA BR",2014,10
"72645594897",2014-10-17,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.90","11.7",54,46,0,"RA FG BR",2014,10
"72645594897",2014-10-18,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.39","10.0",49,31,0,"RA",2014,10
"72645594897",2014-10-19,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.29","7.0",56,29,0.01,"RA",2014,10
"72645594897",2014-11-01,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.71","6.3",NA,25,0,"",2014,11
"72645594897",2014-11-02,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.54","9.8",49,24,0,"",2014,11
"72645594897",2014-11-03,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.26","8.5",54,38,0,"RA",2014,11
"72645594897",2014-11-04,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.12","11.7",59,41,0.3,"RA BR",2014,11
"72645594897",2014-11-05,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.29","9.7",46,37,0.03,"RA",2014,11
"72645594897",2014-11-06,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.27","14.6",44,NA,0.31,"RA BR",2014,11
"72645594897",2014-11-07,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.31","11.7",42,32,0.03,"RA",2014,11
"72645594897",2014-11-08,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.08","12.5",44,30,0.03,"RA BR",2014,11
"72645594897",2014-11-09,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.09","6.9",40,33,0,"RA SN BR",2014,11
"72645594897",2014-11-10,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.01","8.3",45,34,0,"RA",2014,11
"72645594897",2014-11-11,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.08","15.0",41,27,0.03,"RA BR UP",2014,11
"72645594897",2014-11-12,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.47","14.2",30,21,0,"SN",2014,11
"72645594897",2014-11-13,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.52","12.5",32,21,0,"",2014,11
"72645594897",2014-11-14,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.59","9.1",29,18,0,"SN",2014,11
"72645594897",2014-11-15,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.55","7.4",28,16,0,"SN BR",2014,11
"72645594897",2014-11-16,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.27","8.5",32,19,0.01,"SN BR",2014,11
"72645594897",2014-11-17,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.07","14.7",21,11,0,"SN",2014,11
"72645594897",2014-11-18,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.21","16.9",22,10,0,"SN",2014,11
"72645594897",2014-11-19,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.07","12.3",25,16,0,"SN BR",2014,11
"72645594897",2014-11-20,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.31","14.9",22,10,0,"SN",2014,11
"72645594897",2014-11-21,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.56","11.0",32,7,0,"",2014,11
"72645594897",2014-11-22,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.15","8.9",44,NA,0,"BR",2014,11
"72645594897",2014-11-23,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.84","11.2",47,43,0.49,"RA FG BR",2014,11
"72645594897",2014-11-24,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.53","10.6",44,26,0.44,"RA SN BR",2014,11
"72645594897",2014-11-25,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.27","10.9",28,20,0,"SN BR",2014,11
"72645594897",2014-11-26,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.47","4.5",27,13,0,"SN BR",2014,11
"72645594897",2014-11-27,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.60","9.9",24,5,0,"SN BR UP",2014,11
"72645594897",2014-12-01,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.88","12.0",NA,7,0,"SN",2014,12
"72645594897",2014-12-02,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.47","11.1",35,12,0,"SN UP",2014,12
"72645594897",2014-12-03,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.43","12.5",28,18,0,"",2014,12
"72645594897",2014-12-04,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.65","7.1",31,14,0,"",2014,12
"72645594897",2014-12-05,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.53","3.2",40,24,0,"BR",2014,12
"72645594897",2014-12-06,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.84","7.6",35,NA,0,"BR",2014,12
"72645594897",2014-12-07,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.78","11.1",37,18,0,"",2014,12
"72645594897",2014-12-08,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.34","8.8",NA,33,0.18,"RA SN BR UP",2014,12
"72645594897",2014-12-09,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.62","11.3",35,28,0,"SN",2014,12
"72645594897",2014-12-10,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.67","8.2",29,19,0,"",2014,12
"72645594897",2014-12-11,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.50","10.6",28,16,0,"BR HZ",2014,12
"72645594897",2014-12-12,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.50","12.1",34,22,0,"BR",2014,12
"72645594897",2014-12-13,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.36","10.2",44,33,0,"FG BR",2014,12
"72645594897",2014-12-14,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.29","4.3",48,41,0,"RA FG BR",2014,12
"72645594897",2015-01-01,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.22","13.9",28,16,0,"SN",2015,1
"72645594897",2015-01-02,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.51","4.9",27,12,0,"",2015,1
"72645594897",2015-01-03,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.23","3.3",35,20,0.06,"RA SN FG BR UP",2015,1
"72645594897",2015-01-04,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.29","15.5",32,-6,0.01,"SN BR UP",2015,1
"72645594897",2015-01-05,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.74","12.7",3,-10,0,"SN",2015,1
"72645594897",2015-01-06,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.51","14.5",11,-1,0,"SN",2015,1
